"","source","type","lang","value","id"
"1","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0095"
"2","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0095"
"3","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0082"
"4","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1471"
"5","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1122"
"6","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1467"
"7","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1506"
"8","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0084"
"9","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-2000-0388"
"10","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0209"
"11","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1198"
"12","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1391"
"13","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1392"
"14","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1392"
"15","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1057"
"16","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1554"
"17","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1197"
"18","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1115"
"19","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1258"
"20","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1438"
"21","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1211"
"22","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1212"
"23","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1194"
"24","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1194"
"25","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1193"
"26","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1123"
"27","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1034"
"28","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1415"
"29","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1090"
"30","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0498"
"31","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1468"
"32","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0167"
"33","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1493"
"34","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1032"
"35","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1059"
"36","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0627"
"37","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1121"
"38","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0117"
"39","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1119"
"40","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1142"
"41","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0168"
"42","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0214"
"43","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1396"
"44","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1395"
"45","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1306"
"46","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1466"
"47","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1021"
"48","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0312"
"49","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1507"
"50","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1218"
"51","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1312"
"52","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1216"
"53","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1162"
"54","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0124"
"55","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1215"
"56","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1138"
"57","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-1318"
"58","nvd@nist.gov","Primary","en","NVD-CWE-Other","CVE-1999-0145"
