"No.","Time","Delta","Source","Source MAC","SRC Port","Destination","Dst MAC","DST Port","Protocol","Length","Info"
"1","2022-11-15 16:17:54.207624","0.000000","52.115.248.49","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","57350","TLSv1.2","785","Application Data, Application Data, Application Data, Application Data"
"2","2022-11-15 16:17:54.258269","0.050645","10.31.0.238","52:bb:da:78:be:1f","5353","224.0.0.251","01:00:5e:00:00:fb","5353","MDNS","393","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone (72)._rdlink._tcp.local TXT SRV, cache flush 0 0 49156 iPhone-72.local AAAA, cache flush fe80::ca3:1084:f3ae:7ada A, cache flush 10.31.0.238 NSEC, cache flush iPhone (72)._rdlink._tcp.local NSEC, cache flush iPhone-72.local OPT"
"3","2022-11-15 16:17:54.258269","0.000000","fe80::ca3:1084:f3ae:7ada","52:bb:da:78:be:1f","5353","ff02::fb","33:33:00:00:00:fb","5353","MDNS","413","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone (72)._rdlink._tcp.local TXT SRV, cache flush 0 0 49156 iPhone-72.local AAAA, cache flush fe80::ca3:1084:f3ae:7ada A, cache flush 10.31.0.238 NSEC, cache flush iPhone (72)._rdlink._tcp.local NSEC, cache flush iPhone-72.local OPT"
"4","2022-11-15 16:17:54.258269","0.000000","Cisco_83:1c:e1","70:69:5a:83:1c:e1","","Broadcast","ff:ff:ff:ff:ff:ff","","ARP","60","Who has 12.227.228.229? Tell 12.227.228.129"
"5","2022-11-15 16:17:54.267066","0.008797","10.31.1.3","18:1d:ea:68:71:08","55704","52.96.109.194","20:4c:03:2f:7e:4c","443","TCP","1514","55704  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1460 [TCP segment of a reassembled PDU]"
"6","2022-11-15 16:17:54.267066","0.000000","10.31.1.3","18:1d:ea:68:71:08","55704","52.96.109.194","20:4c:03:2f:7e:4c","443","TCP","1514","55704  >  443 [ACK] Seq=1461 Ack=1 Win=513 Len=1460 [TCP segment of a reassembled PDU]"
"7","2022-11-15 16:17:54.267066","0.000000","10.31.1.3","18:1d:ea:68:71:08","55704","52.96.109.194","20:4c:03:2f:7e:4c","443","TCP","1514","55704  >  443 [ACK] Seq=2921 Ack=1 Win=513 Len=1460 [TCP segment of a reassembled PDU]"
"8","2022-11-15 16:17:54.267066","0.000000","10.31.1.3","18:1d:ea:68:71:08","55704","52.96.109.194","20:4c:03:2f:7e:4c","443","TLSv1.2","259","Application Data"
"9","2022-11-15 16:17:54.268456","0.001390","10.31.1.3","18:1d:ea:68:71:08","55704","52.96.109.194","20:4c:03:2f:7e:4c","443","TLSv1.2","178","Application Data"
"10","2022-11-15 16:17:54.272939","0.004483","52.96.109.194","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","55704","TCP","60","443  >  55704 [ACK] Seq=1 Ack=2921 Win=16385 Len=0"
"11","2022-11-15 16:17:54.272939","0.000000","52.96.109.194","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","55704","TCP","60","443  >  55704 [ACK] Seq=1 Ack=4586 Win=16385 Len=0"
"12","2022-11-15 16:17:54.281465","0.008526","52.96.109.194","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","55696","TCP","1514","443  >  55696 [ACK] Seq=1 Ack=1 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"13","2022-11-15 16:17:54.281465","0.000000","52.96.109.194","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","55696","TLSv1.2","96","Application Data"
"14","2022-11-15 16:17:54.281465","0.000000","52.96.109.194","20:4c:03:2f:7e:4c","443","10.31.1.3","18:1d:ea:68:71:08","55696","TLSv1.2","88","Application Data"
